PRUEBA LIBROS
================================================================================
Codigo      Nombre                                                       Stock
--------------------------------------------------------------------------------
IIM5175     Diamantes y pedernales                                         2
YDK7687     El otonio del patriarca                                       60
ZOY6470     El viejo y el mar                                             25
ETZ8565     Confesiones de una mascara                                    27
LQL0880     Contra el fascismo                                            34
VFZ9435     El olor de la Edad Media                                      49
SFZ1256     La Iliada                                                     34
EDQ0577     Las aventuras de Pinocho                                      27
YJI3961     Cien anios de soledad                                         45
VPN5351     El Amante                                                     27
PVS2464     Sapiens                                                       18
DVL7760     Falco                                                         57
QRH6838     Las cronicas de Narnia                                        43
LDL2628     Harry Potter y el caliz de fuego (Harry Potter 4)              3
SBU9053     Tierra arrasada                                               34
ZJM1292     El suenio del celta                                           52
CRA4157     El forastero misterioso                                       39
RII8346     Las dos Dianas                                                23
JBR9372     El maestro de esgrima                                         60
NEO9165     Emperador de Roma                                             65
TBZ2657     Olalla                                                         5
IBP7411     Nunca                                                         40
GPH1575     La gran aventura de los griegos                                3
XIU2628     Cabo Trafalgar                                                21
DDT0017     Viaje al fin de la noche                                      38
ILG7766     Iliada                                                         7
HGQ0131     Odisea                                                        22
HLB4548     Frankenstein o el moderno Prometeo                            18
SQB7146     Cronica de una muerte anunciada                               31
VHK9148     Historia y cronologia del mundo                               63
MVU0233     La conspiracioni                                              60
KWL0415     1923                                                          24
WPU8819     Tristam Shandy                                                47
JTX5687     Veinte mil leguas de viaje submarino                          29
HCT8192     Diario                                                        63
OMN0252     Los hermanos Karamazov                                        42
CKC4095     El Gran Gatsby                                                26
JLQ6546     El retorno del Rey                                            37
MSW8176     Todo se desmorona                                             23
TDY0497     La chica del tren                                             40
NBL8415     Espania con honra                                             50
IMC3155     Los pilares de la tierra                                      35
FWK6327     El doble                                                      24
GQC1814     Apocalipticos e integrados                                    26
PRD1648     Relato de un naufrago                                         10
SBF7018     El handicap de la vida                                         2
LVP3355     Las aventuras de Sherlock Holmes                              35
FBO8724     El pendulo de Foucault                                        64
WCZ0845     El cementerio de Praga                                         5
WOF6634     El problema final                                             64
CUV7849     Ficciones                                                     50
VMW6915     Travesuras de la ninia mala                                   12
MBQ9495     Tormenta de espadas                                           27
LQA8555     Rimas y leyendas                                              14
IMK4892     La tabla de Flandes                                           21
QCA9584     Dr. Jekyll y Mr. Hyde                                         27
XJT3661     Las aventuras de Tom Sawye                                    65
THT4126     Harry Potter y las reliquias de la muerte (Harry Potter 7)    15
